station,poll
STA-AD0942A,1.055074555074555
STA-AL0203A,15.10590888485336
STA-AL0204A,6.219163995768427
STA-AL0205A,5.018214800035008
STA-AL0206A,14.966487001128407
STA.01.0001,2.3155673928300775
STA.01.0003,3.279136365237872
STA.02.F202,1.2619061856846896
STA.02.KA71,1.1451544804939753
STA.02.M121,2.4897358892748636
STA.02.WO15,2.2978098501380377
STA.02.WO35,1.7421176958265008
STA.03.0103,2.5650523560209426
STA.03.0202,1.9435344253562392
STA.03.0301,3.8471211540916634
STA.03.0302,2.6458458578814477
STA.03.0401,3.643028557715383
STA.03.0407,2.352437258687259
STA.03.0502,1.9353352984524688
STA.03.0601,2.7483272314101757
STA.03.0801,1.6618564265623088
STA.03.1301,2.6273303059273423
STA.03.1401,3.1998910675381262
STA.03.1502,3.4084810438207778
STA.03.1701,3.4952400662251657
STA.03.1703,3.9381010346926355
STA.03.1901,3.8224642523052252
STA.03.1902,3.658976810901267
STA.03.1904,4.603419989904089
STA.03.2301,3.4577534179086094
STA.03.2401,2.362331081081081
STA.03.2501,2.226704316256555
STA.03.2701,6.53473630831643
STA.04.S108,0.44189167314003336
STA.04.S156,1.3663451174732966
STA.04.S173,5.379254179584535
STA.04.S404,1.9766695603278321
STA.04.S406,3.0845410620853766
STA.04.S409,2.113776454727565
STA.04.S415,1.7237922804823262
STA.04.S416,4.018265590265516
STA.04.S418,6.801898485718501
STA.05.1200,1.8100856231705118
STA.05.2000,3.402232636383854
STA.06.106,1.5980638881363374
STA.06.119,0.8569304934994477
STA.06.135,11.078532242989827
STA.06.136,4.5054305745530865
STA.06.138,2.397093232510781
STA.06.142,2.7228248797800396
STA.06.151,2.0799112252763847
STA.06.156,1.3914538317592249
STA.06.164,2.4203310135126426
STA.06.170,1.3290591026368082
STA.06.177,0.3641103156996316
STA.06.179,0.8147121628771226
STA.06.180,1.6522673315950762
STA.06.185,2.2993428232794675
STA.06.190,1.7169703951219528
STA.06.191,3.2972295626395742
STA.07.2110,1.8881795570261428
STA.07.2519,3.382723097161539
STA.09.A23,1.7571272534305822
STA.09.JAEG,1.3651385726659178
STA.09.KE,2.275535641710905
STA.09.SCHA,1.082303726116446
STA.09.STAD,0.8801026101415391
STA.09.STEF,0.581650568251498
STA.09.ZA,1.1960912687321936
STA.10.ENK1,1.2777588574997034
STA.10.ILL1,1.3176318620807772
STA.10.PIL1,1.4033248923137578
STA.10.VOR1,0.2975005790228904
STA.10.ZOE2,0.4874317279499178
STA-BA0001G,14.966387076877384
STA-BA0029A,16.0353001692289
STA-BA0031A,42.43048388600489
STA-BA0037A,73.11305693564029
STA-BA0039A,79.39882125702266
STA-BA0040A,20.128501011345715
STA-BA0041A,9.054287566404843
STA-BA0042A,20.016841674922176
STA-BA0043A,25.650535853730076
STA-BA0045A,54.48999038288153
STA-BA0046A,67.05529827501192
STA-BA0047A,18.080788300224654
STA-BA0048A,4.989708100348608
STA-BA0050A,31.514994461498453
STA-BA0052A,61.35099999
STA-BELHB23,7.166040835484628
STA-BELLM05,2.977438659485338
STA-BELWZ02,4.712585034013605
STA-BETB001,2.988710806452994
STA-BETN016,1.4815272384986469
STA-BETN029,0.8661731953360409
STA-BETN035,1.1032615164861326
STA-BETN043,4.413419328278126
STA-BETN060,1.5382808830436825
STA-BETN063,0.424380704041721
STA-BETN066,0.5959409594095941
STA-BETN085,0.44029939408340263
STA-BETN093,1.2942264105928665
STA-BETN100,0.6006296780325532
STA-BETN132,0.7655774185992036
STA-BETR001,4.019016446319611
STA-BETR002,3.2671953609703923
STA-BETR012,1.2607464066978873
STA-BETR020,1.005171603196991
STA-BETR222,0.6526676919436887
STA-BETR223,0.7103444236176195
STA-BETR240,2.44490179936493
STA-BETR510,1.084680252986648
STA-BETR512,0.9454898271198401
STA-BETR701,0.8979795606719135
STA-BETR721,3.23372572101236
STA-BETR731,1.8967122319113834
STA-BETR750,2.375714285714286
STA-BETR801,1.8647613435474366
STA-BETR820,2.0717054263565893
STA-BETR831,1.856639661852765
STA-BETR892,3.0111005013129626
STA-BETR893,2.8950827367679848
STA-BETR897,4.582380671773718
STA-BETWOL1,1.1916531792269645
STA-BG0013A,5.9458331301764815
STA-BG0018A,11.670295500310507
STA-BG0019A,4.89757706737004
STA-BG0026A,29.619846170473576
STA-BG0038A,2.7042690847660897
STA-BG0040A,5.419022543813739
STA-BG0041A,25.06102954849979
STA-BG0043A,10.34423740550153
STA-BG0044A,9.266013990453146
STA-BG0045A,9.363802436418458
STA-BG0050A,7.430210715161523
STA-BG0051A,19.1173355932175
STA-BG0052A,7.284250455065489
STA-BG0053R,6.4443529066047365
STA-BG0055A,14.199127903799711
STA-BG0056A,10.250098439941494
STA-BG0057A,5.053103527472275
STA-BG0058A,16.3009457960606
STA-BG0069A,13.813762126093723
STA-BG0070A,7.5587605054095794
STA-BG0071A,10.360619698515489
STA-BG0073A,6.678457626019584
STA-BG0075A,12.509257955613196
STA-BG0078A,5.387222821704757
STA-BG0079A,8.136476680105984
STA-BG0080A,25.556841347526703
BG0081A,4.069426118241523
STA-BG0083A,6.357714354980295
STA-CH0002R,0.34837982341010704
STA-CH0005A,0.860808863291781
STA-CH0005R,0.2520664787708211
STA-CH0008A,1.2562995957974608
STA-CH0010A,0.9513057032943857
STA-CH0011A,1.4035651603849244
STA-CH0013A,1.1558910791952264
STA-CH0033A,1.242357075816699
STA-CH0041A,2.046648868049974
STA-CY0002R,0.9946651812020448
STA-CY0004A,1.963690440958861
STA-CY0006A,1.8060095267841894
STA.CZ_ALIB,4.621790674848778
