station,poll
STA-AD0942A,42.177938904077024
STA-AD0944A,86.4962511715089
STA-AD0945A,103.32
STA-AL0203A,43.394299885760724
STA-AL0204A,41.17741519419593
STA-AL0206A,49.34449507328409
STA-AL0207A,38.897550848635994
STA.01.0001,60.423250505239096
STA.01.0002,55.361241810482326
STA.01.0003,60.112203614921214
STA.01.0035,56.71088963459014
STA.01.1007,64.96115856305762
STA.02.F202,49.641336919996704
STA.02.KA41,54.294512910034484
STA.02.KA71,42.489681798130015
STA.02.M121,48.40782864940397
STA.02.SP10,45.63274927951888
STA.02.SP18,35.95075617603907
STA.02.VL52,91.7574418388528
STA.02.WO15,35.12069687536646
STA.02.WO35,53.8588140941044
STA.03.0065,49.92144613501147
STA.03.0101,48.78188756965674
STA.03.0103,64.65876476617048
STA.03.0104,48.11163182618709
STA.03.0201,64.06542936994117
STA.03.0202,72.02278278063602
STA.03.0301,61.245088455397706
STA.03.0302,64.52000460727447
STA.03.0401,61.33862955035453
STA.03.0403,63.7073569485536
STA.03.0502,64.57660547661133
STA.03.0601,64.40113547754052
STA.03.0603,58.50191100750955
STA.03.0701,57.0831608346119
STA.03.0801,70.10520986822
STA.03.1102,70.95408900522926
STA.03.1204,52.801688042191955
STA.03.1301,64.69667343618318
STA.03.1401,58.91272873047842
STA.03.1502,79.50788005012811
STA.03.1701,58.488765694600254
STA.03.1901,53.19387586983106
STA.03.1904,58.81180935046385
STA.03.2101,79.57652728676909
STA.03.2301,53.42245015306145
STA.03.2401,56.30196160029949
STA.03.2501,55.87749849383446
STA.03.2604,58.84341298419041
STA.03.2701,58.70913059835476
STA.04.S108,80.07084428651167
STA.04.S125,53.02410453171216
STA.04.S156,47.56750564682084
STA.04.S184,47.55688402402533
STA.04.S235,92.38166258771075
STA.04.S404,49.81335733298489
STA.04.S406,48.16736222229946
STA.04.S409,48.718471818651885
STA.04.S416,44.199069166204275
STA.04.S418,56.68452607492922
STA.05.1066,51.75437816037521
STA.05.1200,52.449254013821935
STA.05.2055,80.26441411092043
