station,poll
STA-AD0942A,23.19692558518691
STA-AL0204A,24.038967908258776
STA-AL0205A,42.97917410055303
STA.01.0001,23.47485678218114
STA.01.0002,19.500202581348912
STA.01.0003,25.25293663002531
STA.01.0035,20.743740875605337
STA.01.1007,22.785417083782352
STA.02.F202,14.622305686285388
STA.02.KA21,24.346998892474836
STA.02.KA71,18.88539889781353
STA.02.M121,14.021642602978865
STA.02.M226,22.30735039014243
STA.02.M226,22.495994113972678
STA.02.SP10,12.426822044437188
STA.02.SP18,18.56537879332524
STA.02.VI12,18.72493654501269
STA.02.WO15,23.64807343360551
STA.02.WO25,20.956374309457086
STA.02.WO35,14.824761817719404
STA.03.0101,21.21857044357619
STA.03.0201,19.095115534202698
STA.03.0301,23.918859394922915
STA.03.0302,21.140849143914853
STA.03.0401,22.295686589422967
STA.03.0502,17.584552369806904
STA.03.0599,23.978708791208792
STA.03.0603,21.9673773738786
STA.03.0701,21.577522935779818
STA.03.0902,22.914407659476296
STA.03.1301,22.647999541442164
STA.03.1401,20.12589141936968
STA.03.1406,22.800481044553887
STA.03.1413,21.860009145992912
STA.03.1703,21.95278864970646
STA.03.1901,21.353926162990057
STA.03.1904,20.71506974616968
STA.03.2301,20.95936599423631
STA.03.2302,23.209664491011107
STA.03.2401,21.561020881670533
STA.03.2501,19.582093887985128
STA.03.2604,16.34057804794128
STA.03.2701,22.0754761344933
STA.03.2702,24.083170703707957
STA.04.S108,14.282106487118687
STA.04.S125,14.751291670087179
STA.04.S156,17.83183709157235
STA.04.S156,13.11111111111111
STA.04.S173,18.86061450683895
STA.04.S184,22.433460052147247
STA.04.S184,19.423076923076923
STA.04.S217,21.550964187327825
STA.04.S217,24.70179909246559
STA.04.S245,26.90540333144819
STA.04.S404,19.542247853303902
STA.04.S406,19.782967032967033
STA.04.S406,19.92034776187635
STA.04.S407,17.233397317225624
STA.04.S409,17.520999632279704
STA.04.S415,24.734659538198883
STA.04.S415,24.859060402684563
STA.04.S416,21.939560439560438
STA.04.S416,22.876872700871772
STA.04.S418,16.160956196675606
STA.04.S431,23.706703910614525
STA.04.S431,24.499165503468816
STA.05.1000,22.245179063360883
STA.05.1000,21.752564383586456
STA.05.1066,17.662303724509975
STA.05.1200,16.319511502454105
STA.05.2000,17.550333617857234
STA.05.2300,17.734719423152356
STA.05.5018,11.711478755896504
STA.05.5018,11.767955801104973
STA.05.5032,12.434803152662793
STA.06.036,16.489271054239424
STA.06.106,23.671785758872375
STA.06.107,21.816170319458507
STA.06.114,17.57089551539235
STA.06.118,15.536233401999494
STA.06.119,15.814155176178987
STA.06.136,22.861864368254576
STA.06.138,21.638026031458075
STA.06.139,24.623448852947046
STA.06.141,18.68045968331777
STA.06.142,16.8300619706206
STA.06.142,18.26426599077564
